Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,,Afghanistan,2020-01-22,0.0,0.0
2,,Afghanistan,2020-01-23,0.0,0.0
3,,Afghanistan,2020-01-24,0.0,0.0
4,,Afghanistan,2020-01-25,0.0,0.0
5,,Afghanistan,2020-01-26,0.0,0.0
6,,Afghanistan,2020-01-27,0.0,0.0
7,,Afghanistan,2020-01-28,0.0,0.0
8,,Afghanistan,2020-01-29,0.0,0.0
9,,Afghanistan,2020-01-30,0.0,0.0
10,,Afghanistan,2020-01-31,0.0,0.0
11,,Afghanistan,2020-02-01,0.0,0.0
12,,Afghanistan,2020-02-02,0.0,0.0
13,,Afghanistan,2020-02-03,0.0,0.0
14,,Afghanistan,2020-02-04,0.0,0.0
15,,Afghanistan,2020-02-05,0.0,0.0
16,,Afghanistan,2020-02-06,0.0,0.0
17,,Afghanistan,2020-02-07,0.0,0.0
18,,Afghanistan,2020-02-08,0.0,0.0
19,,Afghanistan,2020-02-09,0.0,0.0
20,,Afghanistan,2020-02-10,0.0,0.0
21,,Afghanistan,2020-02-11,0.0,0.0
22,,Afghanistan,2020-02-12,0.0,0.0
23,,Afghanistan,2020-02-13,0.0,0.0
24,,Afghanistan,2020-02-14,0.0,0.0
25,,Afghanistan,2020-02-15,0.0,0.0
26,,Afghanistan,2020-02-16,0.0,0.0
27,,Afghanistan,2020-02-17,0.0,0.0
28,,Afghanistan,2020-02-18,0.0,0.0
29,,Afghanistan,2020-02-19,0.0,0.0
30,,Afghanistan,2020-02-20,0.0,0.0
31,,Afghanistan,2020-02-21,0.0,0.0
32,,Afghanistan,2020-02-22,0.0,0.0
33,,Afghanistan,2020-02-23,0.0,0.0
34,,Afghanistan,2020-02-24,1.0,0.0
35,,Afghanistan,2020-02-25,1.0,0.0
36,,Afghanistan,2020-02-26,1.0,0.0
37,,Afghanistan,2020-02-27,1.0,0.0
38,,Afghanistan,2020-02-28,1.0,0.0
39,,Afghanistan,2020-02-29,1.0,0.0
40,,Afghanistan,2020-03-01,1.0,0.0
41,,Afghanistan,2020-03-02,1.0,0.0
42,,Afghanistan,2020-03-03,1.0,0.0
43,,Afghanistan,2020-03-04,1.0,0.0
44,,Afghanistan,2020-03-05,1.0,0.0
45,,Afghanistan,2020-03-06,1.0,0.0
46,,Afghanistan,2020-03-07,1.0,0.0
47,,Afghanistan,2020-03-08,4.0,0.0
48,,Afghanistan,2020-03-09,4.0,0.0
49,,Afghanistan,2020-03-10,5.0,0.0
50,,Afghanistan,2020-03-11,7.0,0.0
51,,Afghanistan,2020-03-12,7.0,0.0
52,,Afghanistan,2020-03-13,7.0,0.0
53,,Afghanistan,2020-03-14,11.0,0.0
54,,Afghanistan,2020-03-15,16.0,0.0
55,,Afghanistan,2020-03-16,21.0,0.0
56,,Afghanistan,2020-03-17,22.0,0.0
57,,Afghanistan,2020-03-18,22.0,0.0
58,,Afghanistan,2020-03-19,22.0,0.0
59,,Afghanistan,2020-03-20,24.0,0.0
60,,Afghanistan,2020-03-21,24.0,0.0
61,,Afghanistan,2020-03-22,40.0,1.0
62,,Afghanistan,2020-03-23,40.0,1.0
63,,Afghanistan,2020-03-24,74.0,1.0
64,,Afghanistan,2020-03-25,84.0,2.0
65,,Afghanistan,2020-03-26,94.0,4.0
66,,Afghanistan,2020-03-27,110.0,4.0
67,,Afghanistan,2020-03-28,110.0,4.0
68,,Afghanistan,2020-03-29,120.0,4.0
69,,Afghanistan,2020-03-30,170.0,4.0
70,,Afghanistan,2020-03-31,174.0,4.0
101,,Albania,2020-01-22,0.0,0.0
102,,Albania,2020-01-23,0.0,0.0
103,,Albania,2020-01-24,0.0,0.0
104,,Albania,2020-01-25,0.0,0.0
105,,Albania,2020-01-26,0.0,0.0
106,,Albania,2020-01-27,0.0,0.0
107,,Albania,2020-01-28,0.0,0.0
108,,Albania,2020-01-29,0.0,0.0
109,,Albania,2020-01-30,0.0,0.0
110,,Albania,2020-01-31,0.0,0.0
111,,Albania,2020-02-01,0.0,0.0
112,,Albania,2020-02-02,0.0,0.0
113,,Albania,2020-02-03,0.0,0.0
114,,Albania,2020-02-04,0.0,0.0
115,,Albania,2020-02-05,0.0,0.0
116,,Albania,2020-02-06,0.0,0.0
117,,Albania,2020-02-07,0.0,0.0
118,,Albania,2020-02-08,0.0,0.0
119,,Albania,2020-02-09,0.0,0.0
120,,Albania,2020-02-10,0.0,0.0
121,,Albania,2020-02-11,0.0,0.0
122,,Albania,2020-02-12,0.0,0.0
123,,Albania,2020-02-13,0.0,0.0
124,,Albania,2020-02-14,0.0,0.0
125,,Albania,2020-02-15,0.0,0.0
126,,Albania,2020-02-16,0.0,0.0
127,,Albania,2020-02-17,0.0,0.0
128,,Albania,2020-02-18,0.0,0.0
129,,Albania,2020-02-19,0.0,0.0
130,,Albania,2020-02-20,0.0,0.0
131,,Albania,2020-02-21,0.0,0.0
132,,Albania,2020-02-22,0.0,0.0
133,,Albania,2020-02-23,0.0,0.0
134,,Albania,2020-02-24,0.0,0.0
135,,Albania,2020-02-25,0.0,0.0
136,,Albania,2020-02-26,0.0,0.0
137,,Albania,2020-02-27,0.0,0.0
138,,Albania,2020-02-28,0.0,0.0
139,,Albania,2020-02-29,0.0,0.0
140,,Albania,2020-03-01,0.0,0.0
141,,Albania,2020-03-02,0.0,0.0
142,,Albania,2020-03-03,0.0,0.0
143,,Albania,2020-03-04,0.0,0.0
144,,Albania,2020-03-05,0.0,0.0
145,,Albania,2020-03-06,0.0,0.0
146,,Albania,2020-03-07,0.0,0.0
147,,Albania,2020-03-08,0.0,0.0
148,,Albania,2020-03-09,2.0,0.0
149,,Albania,2020-03-10,10.0,0.0
150,,Albania,2020-03-11,12.0,1.0
151,,Albania,2020-03-12,23.0,1.0
152,,Albania,2020-03-13,33.0,1.0
153,,Albania,2020-03-14,38.0,1.0
154,,Albania,2020-03-15,42.0,1.0
155,,Albania,2020-03-16,51.0,1.0
156,,Albania,2020-03-17,55.0,1.0
157,,Albania,2020-03-18,59.0,2.0
158,,Albania,2020-03-19,64.0,2.0
159,,Albania,2020-03-20,70.0,2.0
160,,Albania,2020-03-21,76.0,2.0
161,,Albania,2020-03-22,89.0,2.0
162,,Albania,2020-03-23,104.0,4.0
163,,Albania,2020-03-24,123.0,5.0
164,,Albania,2020-03-25,146.0,5.0
165,,Albania,2020-03-26,174.0,6.0
166,,Albania,2020-03-27,186.0,8.0
167,,Albania,2020-03-28,197.0,10.0
168,,Albania,2020-03-29,212.0,10.0
169,,Albania,2020-03-30,223.0,11.0
170,,Albania,2020-03-31,243.0,15.0
201,,Algeria,2020-01-22,0.0,0.0
202,,Algeria,2020-01-23,0.0,0.0
203,,Algeria,2020-01-24,0.0,0.0
204,,Algeria,2020-01-25,0.0,0.0
205,,Algeria,2020-01-26,0.0,0.0
206,,Algeria,2020-01-27,0.0,0.0
207,,Algeria,2020-01-28,0.0,0.0
208,,Algeria,2020-01-29,0.0,0.0
209,,Algeria,2020-01-30,0.0,0.0
210,,Algeria,2020-01-31,0.0,0.0
211,,Algeria,2020-02-01,0.0,0.0
212,,Algeria,2020-02-02,0.0,0.0
213,,Algeria,2020-02-03,0.0,0.0
214,,Algeria,2020-02-04,0.0,0.0
215,,Algeria,2020-02-05,0.0,0.0
216,,Algeria,2020-02-06,0.0,0.0
217,,Algeria,2020-02-07,0.0,0.0
218,,Algeria,2020-02-08,0.0,0.0
219,,Algeria,2020-02-09,0.0,0.0
220,,Algeria,2020-02-10,0.0,0.0
221,,Algeria,2020-02-11,0.0,0.0
222,,Algeria,2020-02-12,0.0,0.0
223,,Algeria,2020-02-13,0.0,0.0
224,,Algeria,2020-02-14,0.0,0.0
225,,Algeria,2020-02-15,0.0,0.0
226,,Algeria,2020-02-16,0.0,0.0
227,,Algeria,2020-02-17,0.0,0.0
228,,Algeria,2020-02-18,0.0,0.0
229,,Algeria,2020-02-19,0.0,0.0
230,,Algeria,2020-02-20,0.0,0.0
231,,Algeria,2020-02-21,0.0,0.0
232,,Algeria,2020-02-22,0.0,0.0
233,,Algeria,2020-02-23,0.0,0.0
234,,Algeria,2020-02-24,0.0,0.0
235,,Algeria,2020-02-25,1.0,0.0
236,,Algeria,2020-02-26,1.0,0.0
237,,Algeria,2020-02-27,1.0,0.0
238,,Algeria,2020-02-28,1.0,0.0
239,,Algeria,2020-02-29,1.0,0.0
240,,Algeria,2020-03-01,1.0,0.0
241,,Algeria,2020-03-02,3.0,0.0
242,,Algeria,2020-03-03,5.0,0.0
243,,Algeria,2020-03-04,12.0,0.0
244,,Algeria,2020-03-05,12.0,0.0
245,,Algeria,2020-03-06,17.0,0.0
246,,Algeria,2020-03-07,17.0,0.0
247,,Algeria,2020-03-08,19.0,0.0
248,,Algeria,2020-03-09,20.0,0.0
249,,Algeria,2020-03-10,20.0,0.0
250,,Algeria,2020-03-11,20.0,0.0
251,,Algeria,2020-03-12,24.0,1.0
252,,Algeria,2020-03-13,26.0,2.0
253,,Algeria,2020-03-14,37.0,3.0
254,,Algeria,2020-03-15,48.0,4.0
255,,Algeria,2020-03-16,54.0,4.0
256,,Algeria,2020-03-17,60.0,4.0
257,,Algeria,2020-03-18,74.0,7.0
258,,Algeria,2020-03-19,87.0,9.0
259,,Algeria,2020-03-20,90.0,11.0
260,,Algeria,2020-03-21,139.0,15.0
261,,Algeria,2020-03-22,201.0,17.0
262,,Algeria,2020-03-23,230.0,17.0
263,,Algeria,2020-03-24,264.0,19.0
264,,Algeria,2020-03-25,302.0,21.0
265,,Algeria,2020-03-26,367.0,25.0
266,,Algeria,2020-03-27,409.0,26.0
267,,Algeria,2020-03-28,454.0,29.0
268,,Algeria,2020-03-29,511.0,31.0
269,,Algeria,2020-03-30,584.0,35.0
270,,Algeria,2020-03-31,716.0,44.0
301,,Andorra,2020-01-22,0.0,0.0
302,,Andorra,2020-01-23,0.0,0.0
303,,Andorra,2020-01-24,0.0,0.0
304,,Andorra,2020-01-25,0.0,0.0
305,,Andorra,2020-01-26,0.0,0.0
306,,Andorra,2020-01-27,0.0,0.0
307,,Andorra,2020-01-28,0.0,0.0
308,,Andorra,2020-01-29,0.0,0.0
309,,Andorra,2020-01-30,0.0,0.0
310,,Andorra,2020-01-31,0.0,0.0
311,,Andorra,2020-02-01,0.0,0.0
312,,Andorra,2020-02-02,0.0,0.0
313,,Andorra,2020-02-03,0.0,0.0
314,,Andorra,2020-02-04,0.0,0.0
315,,Andorra,2020-02-05,0.0,0.0
316,,Andorra,2020-02-06,0.0,0.0
317,,Andorra,2020-02-07,0.0,0.0
318,,Andorra,2020-02-08,0.0,0.0
319,,Andorra,2020-02-09,0.0,0.0
320,,Andorra,2020-02-10,0.0,0.0
321,,Andorra,2020-02-11,0.0,0.0
322,,Andorra,2020-02-12,0.0,0.0
323,,Andorra,2020-02-13,0.0,0.0
324,,Andorra,2020-02-14,0.0,0.0
325,,Andorra,2020-02-15,0.0,0.0
326,,Andorra,2020-02-16,0.0,0.0
327,,Andorra,2020-02-17,0.0,0.0
328,,Andorra,2020-02-18,0.0,0.0
329,,Andorra,2020-02-19,0.0,0.0
330,,Andorra,2020-02-20,0.0,0.0
331,,Andorra,2020-02-21,0.0,0.0
